,Вакансия,link,salary_min,salary_max,salary_cur,web-site,keyword
45,Quantitative Researcher / Intern,https://www.hh.ruhttps://hh.ru/vacancy/37590711?query=Python,50000.0,100000.0,руб.,www.hh.ru,Python
46,Backend Python разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37328507?query=Python,80000.0,,руб.,www.hh.ru,Python
47,Инженер-программист С/C++ для встраиваемых систем (Разработчик C/C++ Embedded Linux),https://www.hh.ruhttps://hh.ru/vacancy/37084032?query=Python,140000.0,,руб.,www.hh.ru,Python
48,Python developer,https://www.hh.ruhttps://hh.ru/vacancy/36267171?query=Python,150000.0,200000.0,руб.,www.hh.ru,Python
49,DevOps Engineer - Salesforce,https://www.hh.ruhttps://hh.ru/vacancy/37484827?query=Python,220000.0,,руб.,www.hh.ru,Python
50,Python/Django разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37719390?query=Python,70000.0,,руб.,www.hh.ru,Python
51,Senior Python разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37436374?query=Python,,,,www.hh.ru,Python
52,Data Engineer,https://www.hh.ruhttps://hh.ru/vacancy/36409905?query=Python,160000.0,200000.0,руб.,www.hh.ru,Python
53,Senior Python developer,https://www.hh.ruhttps://hh.ru/vacancy/30005963?query=Python,4000.0,, USD,www.hh.ru,Python
54,Инженер по автоматизации тестирования / Python разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37169502?query=Python,,,,www.hh.ru,Python
55,ГИС-технолог (Python),https://www.hh.ruhttps://hh.ru/vacancy/37406327?query=Python,80000.0,,руб.,www.hh.ru,Python
56,Python Developer,https://www.hh.ruhttps://hh.ru/vacancy/37547995?query=Python,120000.0,150000.0,руб.,www.hh.ru,Python
57,Python Back-end разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37554152?query=Python,,,,www.hh.ru,Python
58,Data Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37422995?query=Python,200000.0,,руб.,www.hh.ru,Python
